gene.name,BA1,BA2,PBA,BIO,BIOw1,BIOw2,MUT1,MUT2,MUT3
Gabrg1,0,0,0,0,0,0,0,0,0
Ckb,0,0,0,0,0,0,1,0,0
Sp1,0,0,0,0,0,0,0,0,0
Itgb7,0,0,0,0,0,0,0,0,0
Myg1,0,0,0,0,0,0,1,0,0
Rarg,0,1,0,0,0,0,0,0,0
Pfdn5,0,0,0,0,0,0,1,0,0
Efnb2,0,0,0,0,0,0,0,0,0
Rrp15,0,0,0,0,0,0,1,0,0
Rnd2,0,0,1,0,0,0,0,0,0
Srr,0,0,0,0,0,0,0,0,0
Sync,0,0,0,0,0,0,0,0,0
Fndc5,0,0,0,0,0,0,0,0,0
Acp5,0,0,0,0,0,0,0,0,0
Cnn1,0,0,0,0,0,0,1,1,1
Fbxo9,0,0,0,0,0,0,0,0,0
Ccdc132,0,0,0,0,0,0,0,0,0
Apbb3,0,0,0,0,0,0,0,0,0
Hars,0,0,0,0,0,0,0,0,0
Zmat2,0,0,0,0,0,0,0,0,0
Ube2c,0,0,0,0,0,0,0,0,0
Smg5,0,0,0,0,0,0,0,0,0
Cct3,0,0,0,0,0,0,0,0,0
Rhbg,0,0,0,0,0,0,0,0,0
0610031J06Rik,0,0,0,0,0,0,0,0,0
Mef2d,0,0,0,0,0,0,0,0,0
Tmem79,1,1,1,1,0,0,0,0,0
Snd1,0,0,0,0,0,0,0,0,0
Col18a1,1,1,1,0,1,0,0,0,0
Slc19a1,0,0,0,0,0,0,0,0,0
Kpnb1,0,0,0,0,0,0,0,0,0
Npepps,0,0,0,0,0,0,0,0,0
Tbx21,0,0,0,0,0,0,0,0,0
Mrpl10,0,0,0,0,0,0,0,0,0
Cyp51,0,0,0,0,0,0,0,0,0
Tcf25,0,0,0,0,0,0,0,0,0
Tubb6,0,0,0,0,0,0,0,0,0
Def8,1,1,0,0,0,0,0,0,0
Meox1,0,1,1,0,0,0,1,0,0
Sost,0,0,0,0,0,0,0,0,0
Nkx2-1,0,0,1,0,0,0,0,1,0
Pax9,1,1,1,0,0,0,0,0,0
Irx2,1,1,0,0,0,0,0,0,0
Col1a1,0,0,0,0,0,0,0,0,0
Itga3,0,0,0,0,0,0,0,0,0
Sgca,0,0,0,0,0,0,0,0,0
Dlx3,1,1,0,0,0,0,0,0,0
Foxm1,0,0,0,0,0,0,0,0,0
Itfg2,0,0,0,0,0,0,0,0,0
Nrip2,0,1,1,0,0,0,1,0,0
Tulp3,0,0,0,0,0,0,0,0,0
Gtf2h4,0,0,0,0,0,0,0,0,0
Tubb5,0,0,0,0,0,0,0,0,0
Ell2,0,0,0,0,0,0,0,0,0
Jup,0,0,0,0,0,0,0,0,0
Fkbp10,0,0,0,0,0,0,0,0,0
Klhl10,0,0,1,0,0,0,0,0,0
Mnx1,0,0,0,0,0,0,0,0,0
Nom1,0,0,0,0,0,0,0,0,0
Ergic1,0,0,0,0,0,0,0,0,0
Tnk1,1,1,1,0,0,0,0,0,0
Acap1,0,0,1,0,0,0,0,0,0
Tcea3,0,0,0,1,1,0,0,0,0
Csn3,0,0,0,0,0,0,0,0,0
Ifrd1,0,0,0,0,0,0,0,0,0
Stk38l,0,0,0,0,0,0,0,0,0
Brpf1,0,0,0,0,0,0,0,0,0
Akr1b3,0,0,0,0,0,0,0,0,0
Hoxc13,0,0,0,0,0,0,0,0,0
Hoxc11,0,0,0,0,0,0,0,0,0
Hoxc8,0,0,0,0,0,0,0,0,0
Hoxc6,0,0,0,0,0,0,0,0,0
Gstt1,0,0,0,0,0,0,0,0,0
Gstt3,1,1,1,0,0,0,0,0,0
Ddt,0,0,0,0,0,0,0,0,0
Tat,0,0,0,0,0,0,0,0,0
Marveld3,1,1,1,0,0,0,0,0,0
Ddx18,0,0,0,0,0,0,0,0,0
Ubl3,0,0,0,0,0,0,0,0,0
Gramd3,0,0,0,0,0,0,0,0,0
Eef1e1,0,0,0,0,0,0,0,0,0
Akt1,0,0,0,0,0,0,0,0,0
Cldn15,0,0,0,0,0,0,0,0,0
Il16,1,1,1,1,0,1,0,0,0
Tcirg1,0,0,0,0,0,0,0,0,0
Naglu,0,0,0,0,0,0,0,0,0
Coasy,1,1,1,0,0,0,0,0,0
Smo,0,0,0,0,0,0,0,0,0
Tspan33,0,0,0,0,0,0,0,0,0
Crnkl1,0,0,0,0,0,0,0,0,0
Rin2,0,0,0,1,1,1,0,0,0
Folh1,0,0,0,0,0,0,0,0,0
Chordc1,0,0,0,0,0,0,0,0,0
D10Wsu52e,0,0,0,0,0,0,0,0,0
Pwp1,0,0,0,0,0,0,0,0,0
Fbxo7,0,1,0,0,0,0,0,0,0
Capns1,0,0,0,0,0,0,0,0,0
Lrp3,0,1,0,0,0,0,0,0,0
Dsg4,0,0,0,0,0,0,0,0,0
Evx2,0,0,0,0,0,0,0,0,0
Hoxd13,0,0,0,0,0,0,0,0,0
Hoxd12,0,0,0,0,0,0,0,0,0
Folr1,0,0,0,0,0,0,0,0,0
Clpb,0,0,0,0,0,0,0,0,0
Sep-07,0,0,0,0,0,0,0,0,0
Zdhhc4,0,0,0,0,0,0,0,0,0
Rac1,0,0,0,0,0,0,0,0,0
Nup214,0,0,0,0,0,0,0,0,0
Aif1l,0,0,0,0,0,0,0,0,0
Cpa3,0,0,0,0,0,0,0,0,0
Ltbp1,0,0,0,0,0,0,0,0,0
Ugp2,0,0,0,0,0,0,0,0,0
Kcnh6,0,0,0,0,0,0,0,0,0
Trmt1,0,0,0,0,0,0,0,0,0
Nacc1,0,0,0,0,0,0,0,0,0
Nfix,0,0,0,0,0,0,0,0,0
Slc1a5,0,0,0,0,0,0,0,0,0
Uba1,0,0,0,0,0,0,0,0,0
Vwf,0,0,1,0,0,0,0,0,0
Siae,0,1,1,0,0,0,0,0,0
Vsig2,1,1,1,0,0,0,1,0,0
Esam,1,1,1,0,0,0,1,0,0
Spa17,1,1,1,0,0,0,0,0,0
Fam50a,0,0,0,0,0,0,1,0,0
Emd,0,0,0,0,0,0,0,0,0
Taco1,0,0,0,0,0,0,0,0,0
Grik3,0,0,0,0,0,0,0,0,0
Gria3,0,0,0,0,0,0,0,0,0
Npas1,0,0,0,0,0,0,1,0,0
Sipa1l2,0,0,0,0,0,0,0,0,0
Ap4e1,0,0,0,0,0,0,0,0,0
Blvra,0,0,0,0,0,0,0,0,0
Pdzd4,1,1,0,0,0,0,0,0,0
Srpk3,0,0,0,0,0,0,0,0,0
Idh3g,0,0,0,0,0,0,0,0,0
Pnck,1,1,1,0,0,0,0,0,0
Ssr4,0,0,0,0,0,0,0,0,0
Bcap31,0,0,0,0,0,0,0,0,0
Fam98a,0,0,0,0,0,0,0,0,0
Ltbp2,0,0,0,0,0,0,0,0,0
Mll1,0,0,0,0,0,0,0,0,0
Ift46,0,0,0,0,0,0,0,0,0
Tmem25,1,1,1,0,0,0,0,0,0
Cd3g,0,0,0,0,0,0,0,0,0
Trappc6a,0,0,1,0,0,1,0,0,0
Supt6h,0,0,0,0,0,0,0,0,0
Spag5,1,1,1,0,0,0,0,0,0
Foxn1,1,1,1,0,0,0,0,0,0
Unc119,1,1,1,0,0,0,0,0,0
Rab34,0,0,0,0,0,0,0,0,0
Sdf2,0,0,0,0,0,0,1,0,0
Ccne1,1,1,0,1,1,1,0,0,0
Hsf2bp,0,0,0,0,0,0,0,0,0
Bbc3,0,0,0,0,0,0,1,0,0
Mybpc3,0,0,1,0,0,0,1,1,0
Psmc3,0,0,0,0,0,0,0,0,0
Acp2,0,0,0,0,0,0,0,0,0
Rapsn,0,0,0,0,0,0,0,0,0
Slc39a13,0,0,0,0,0,0,1,0,0
Celf2,0,0,0,0,0,0,0,0,0
Nr1h3,0,0,0,0,0,0,0,0,0
Ddb2,1,1,1,0,0,1,0,0,0
Sfpi1,0,0,0,0,0,0,1,0,0
Sf3a1,0,0,0,0,0,0,0,0,0
Stat6,0,0,0,0,0,0,0,0,0
Clgn,1,1,0,0,0,0,0,0,0
Napsa,0,0,0,0,0,0,0,0,0
Vrk3,0,0,0,0,0,0,0,0,0
1500002O20Rik,0,0,0,0,0,0,1,0,0
Paxip1,0,0,0,0,0,0,0,0,0
Rmnd5a,0,0,0,0,0,0,0,0,0
Mov10,0,0,0,0,0,0,0,0,0
Ppm1j,0,0,1,0,0,0,1,0,0
Rhoc,0,0,0,0,0,0,0,0,0
4930432K09Rik,0,0,0,0,0,0,0,0,0
Tead3,0,0,0,0,0,0,0,0,0
Ppard,0,0,0,0,0,0,0,0,0
Def6,0,0,0,0,0,0,0,0,0
Peg3,0,0,0,0,1,0,0,0,0
Zim1,0,0,0,0,0,0,0,0,0
Metrn,1,1,1,0,0,0,1,0,0
Lmf1,0,1,0,0,0,0,0,0,0
Narfl,0,0,0,0,0,0,0,0,0
Angptl4,0,0,1,0,0,0,0,0,0
Rab11b-ps2,0,1,0,0,0,0,0,0,0
Dbf4,0,0,0,0,0,0,0,0,0
Daxx,0,0,0,0,0,0,0,0,0
Cd320,0,0,1,0,0,0,1,0,0
Ipo4,0,0,0,0,0,0,0,0,0
Tm9sf1,0,0,0,0,0,0,0,0,0
Rec8,1,1,1,0,0,0,0,0,0
Irf9,0,0,0,0,0,0,0,0,0
Gmpr2,0,0,0,0,0,0,0,0,0
Mdp1,0,0,0,0,0,0,1,0,0
Dhrs1,0,0,0,0,0,0,0,0,0
Ncan,1,1,1,1,1,0,0,0,0
Tmem161a,0,0,0,0,0,0,0,0,0
Armc6,0,0,0,0,0,0,0,0,0
2310045N01Rik,0,0,0,0,0,0,1,0,0
Slc25a42,0,0,0,0,0,0,0,0,0
Snx9,0,0,0,0,0,0,0,0,0
Ranbp3,0,0,0,0,0,0,0,0,0
Ndufa11,0,0,0,0,0,0,1,0,0
Bmp8b,0,0,0,0,0,0,0,0,0
Nr2f6,0,0,0,0,0,0,1,0,0
Use1,0,0,0,0,0,0,1,0,0
Ocel1,0,0,0,0,0,0,1,0,0
Dyrk1b,0,0,0,0,0,0,0,0,0
Braf,0,0,0,0,0,0,0,0,0
Ndufb2,0,0,0,0,0,0,0,0,0
Hltf,0,0,0,0,0,0,0,0,0
Prpf6,0,0,0,0,0,0,0,0,0
Rgs19,0,0,0,0,0,0,0,0,0
Rgs20,0,0,0,0,0,0,0,0,0
Abhd3,0,0,0,0,0,0,0,0,0
Snrpd1,0,0,0,0,0,0,0,0,0
Tchp,0,0,0,0,0,0,0,0,0
Tiam1,1,1,1,0,0,0,0,0,0
Tsc2,0,0,0,0,0,0,0,0,0
Rpl3l,0,0,0,0,0,0,0,0,0
Slc9a3r2,0,0,0,0,0,0,0,0,0
Puf60,0,0,0,0,0,0,0,0,0
Golga2,0,0,0,0,0,0,0,0,0
Uck1,0,0,0,0,0,0,0,0,0
Scin,0,0,0,0,0,0,0,0,0
Ikzf4,0,0,0,0,0,0,0,0,0
1810046J19Rik,0,0,0,0,0,0,0,0,0
Pon1,0,0,0,0,0,0,0,0,0
Axl,0,0,0,0,0,0,0,0,0
Tgfb1,0,0,0,0,0,0,1,0,0
Ccdc97,0,0,0,0,0,0,0,0,0
Zfp40,1,0,1,0,0,1,0,0,0
Akap8l,0,0,0,0,0,0,0,0,0
Shh,1,1,1,0,0,0,0,0,0
Pdcd2l,0,0,0,0,0,0,0,0,0
Gtf2f1,0,0,0,0,0,0,0,0,0
Clpp,0,0,0,0,0,0,1,0,0
Alkbh7,0,0,0,0,0,0,0,0,0
Pspn,0,0,0,0,0,0,0,0,0
Dennd1c,0,1,0,0,0,0,0,0,0
Med6,0,0,0,0,0,0,0,0,0
Prkd1,0,0,0,0,0,0,0,0,0
Lcp2,0,0,0,0,0,0,0,0,0
Cse1l,0,0,0,0,0,0,0,0,0
Naa20,0,0,0,0,0,0,0,0,0
Prkra,1,1,0,0,0,0,0,0,0
Fkbp7,0,1,0,1,0,1,0,0,0
Plekha3,0,0,0,0,0,0,0,0,0
Ykt6,0,0,0,0,0,0,0,0,0
Baz1b,0,0,0,0,0,0,0,0,0
Pex6,0,0,0,0,0,0,1,0,0
Mrpl2,0,0,0,0,0,0,1,0,0
Mea1,0,0,0,0,0,0,0,0,0
Gnmt,0,0,0,0,0,0,0,0,0
Grin2d,0,0,0,0,0,0,0,0,0
Kdelr1,0,0,0,0,0,0,0,0,0
Tmem143,0,0,0,0,0,0,0,0,0
Pdxk-ps,0,0,0,0,0,0,0,0,0
Ggct,0,0,0,0,0,0,0,0,0
Jag2,1,0,0,0,0,0,0,0,0
Btbd6,1,1,0,1,1,1,0,0,0
Nudt14,1,0,1,0,0,0,1,0,0
Epdr1,0,0,0,0,0,0,0,0,0
Flii,0,0,0,0,0,0,0,0,0
Top3a,0,0,0,0,0,0,0,0,0
Atg4d,0,0,0,0,0,0,0,0,0
Qtrt1,0,0,0,0,0,0,1,0,0
Plin4,0,0,0,0,0,0,0,0,0
Hdgfrp2,0,0,0,0,0,0,0,0,0
Chaf1a,0,1,0,0,0,0,0,0,0
Adprh,0,0,0,0,0,0,0,0,0
Tmem39a,0,0,0,0,0,0,0,0,0
4930455C21Rik,0,0,0,0,0,0,0,0,0
Pla1a,0,0,0,0,0,0,0,0,0
Mcm2,0,0,0,0,0,0,0,0,0
Tpra1,0,0,0,0,0,0,0,0,0
Nab1,0,0,0,0,0,0,0,0,0
Cd97,0,0,0,0,0,0,0,0,0
Il17ra,0,0,0,0,0,1,0,0,0
Lamb1,0,0,0,0,0,0,0,0,0
Kcnn1,1,1,1,0,0,0,0,0,0
Arrdc2,1,1,1,0,0,0,0,0,0
Ppp1r17,1,0,1,0,0,0,1,0,0
Cd36,0,0,0,1,1,0,0,0,0
Map2k7,0,0,0,0,0,0,0,0,0
Timm44,0,0,0,0,0,0,0,0,0
Ap2a2,0,0,0,0,0,0,0,0,0
Pnkp,0,0,0,0,0,0,1,0,0
Med25,0,0,0,0,0,0,0,0,0
